"PRENOM","NOM","DATES","IMAGE","BIOGRAPHIE"
"Michel","DAVE","(België, 1941-2018)","Michel_DAVE.jpg","« Schrijven is ook tekenen ». Geïnspireerd door dit commentaar bij de woorden die hij op een blad geschreven had, begint Michel Dave aan zijn rijkelijke productie van geschreven tekeningen of getekende geschriften. Het zijn grafische lijsten gemaakt met tekens die belangrijker zijn dan hetgeen zij op zich betekenen, ook al blijft die betekenis heel belangrijk. Het gaat hier inderdaad niet om een willekeurige reeks woorden die opgetekend worden. Michel Dave zoekt ze zorgvuldig uit in een woordenboek en beperkt zich niet tot een waarheidsgetrouw overpennen daarvan, in alfabetische orde. Wanneer men de blik laat dwalen over zijn werken valt men van de ene verrassing in de andere en springt men van geluidsassociaties over op betekenisassociaties. De weg die het oog daarbij volgt wordt aangegeven door licht golvende stippellijnen. Michel Dave begon naar het atelier La Pommeraie te komen in 1990 en vond na een grafische zoektocht die ongeveer een jaar duurde zijn eigen taal. Naarmate zijn gezondheid achteruitgaat worden zijn trekken fragieler, tot ze na een intense productieperiode helemaal stilvallen in 2015."
"Heide","DE BRUYNE","(België, 1955-)","Heide_DEBRUYNE.jpg",
"Willy","DE SMEDT","(België, 1943-)","Willy_DESMEDT.jpg","Willy De Smedt woont sinds 1998 de kunstworkshop Créahmbxl bij. Het eerste gebaar: een rechthoek tekenen. Het abstracte schilderij van Willy De Smedt wordt laag per laag opgebouwd. Tijdens het proces krijgen de uitgelijnde rechthoeken, getekend in acryl, kleur. Dan worden er andere overheen gelegd op een verschuivende manier. Het materiaal stapelt zich op. De nieuwe kleuren - misschien pastel – vermengen zich met de vorige. Het ritme van de schilderijen van Willy De Smedt, hun vibratie, wordt geboren uit deze overlappingen. Als het werk klaar is, heeft het een geheel eigen diepte gekregen. Het oog gaat door deze verdubbelde portieken en dompelt zich onder in de kleur. (Text: Créahmbxl, Anita Van Belle)",,,,,,,,,,,
"Éric","DE SULAUZE","(Frankrijk, 1963-)","ERIC_DE_SULAUZE.jpg","Éric De Sulauze woonde het kunstatelier bij van Le Pré-texte, Brussel. Voor hij aan de slag gaat voert Eric de Sulauze een aantal rituelen uit. Pas wanneer alles is zoals hij het wenst gaat hij geconcentreerd aan het werk. In het dagcentrum waar hij verblijft moet men een volledige tafel alleen voor hem voorzien. Dan neemt hij zijn kleurpotloden en begint die zorgvuldig en krachtig te verpletteren om zijn tekening te maken. Dikwijls gaat hij nog eens met een ander potlood en in een andere richting over die eerste tekening om een sterk en fluweelzacht effect te bekomen. Het resultaat doet denken aan zachte zijde. Eric de Sulauze zegt meestal weinig maar luistert wel aandachtig naar de gesprekken om hem heen. Hij vindt het heel leuk om zijn potloden te slijpen en geniet van de geur van versgeslepen hout.",,,,,,,,,,,
"Sieberen","DE VRIES","(Nederland, 1969-)","SieberenDeVRIES.jpg",
"Véronique","DECLERCQ","(België, 1947-)","declercq.jpg","Het begint allemaal met een regenboog, onvermoeibaar herhaald, met een stift. Het begint allemaal met een regenboog, en een cursus droge naald gravure aangeboden door de kunstenaar Chris Delville binnen de Club Antonin Artaud (Brussel). Het gebaar van de regenboog neemt al zijn dimensie in, brengt al zijn diepte terug als het eenmaal op dit medium is aangebracht, wat het onmogelijk maakt het ongedaan te maken, alleen de golven die van binnenuit komen kunnen direct overgenomen worden. Geraakt door het werk van Véronique Declercq, stelde Chris Delville voor dat ze deze techniek wekelijks zou blijven oefenen in haar persoonlijke workshop. Een creatieve relatie die sinds 1997 is blijven bestaan, tussen de regendruppels en de zonnestralen die door de ramen van de kleine binnenplaats binnenkomen, handlangers van het uitkomen van bogen, luchten ... golven! ... Wit en grijs."
"Serge ","DELAUNAY","(België, 1956 -2021)","Serge_DELAUNAY.jpg","Serge Delaunay werkte in het atelier Campagn’art van 1978 tot 2021. Hij maakte tekeningen met dunne lijnen in viltstift of Röthring, waarin repetitieve onderwerpen (auto’s, robots, raketten,…) vergezeld werden van informatieve teksten over techniek of mechaniek, waarbij elk woord een vaandeldrager van de toekomst lijkt. Zijn odyssee door het onmetelijke luchtruim herinnert ons aan onze eigen nietigheid. Dankzij zijn creativiteit heeft Serge Delaunay zijn eigen Odyssee van de ruimte gecreëerd bij wijze van ersatz-bestaan."
"Eric","DERKENNE","(België, 1960-2014)","Eric_DERKENNE.jpg",
"Curzio","DI GIOVANNI","(Italië, 1957-)","CurzioDiGIOVANNI.jpg",
"Georges","DUESBERG","(België, 1944-1995)","GEORGES_DUESBERG.jpg","Jarenlang, heeft Georges Duesberg op een grafische wijze verslag uitgebracht over hetgeen zich wekelijks afspeelde in La Pommeraie (Quevaucamps). Hij vindt zijn modellen in tijdschriften en bewerkt deze met ongemengde kleuren, recht uit de pot, nadat hij zijn compositie met potlood getekend en voorzien heeft van de nodige kleurenindicaties. De woordenschat die hij daarvoor gebruikt is al even persoonlijk als zijn bewerkingen: « brunis clair » (helder gebruind), « mauvé foncé » (donker gepaarst)...",,,,,,,,,,,
"Paul","DUHEM","(België, 1919-1999)","Paul_DUHEM.jpg","Duhem is zeventig als hij begint te tekenen en te schilderen. Hij werkt steeds op dezelfde manier. Eerst verkleint hij het blad met een mes en dan tekent hij met een lat een kader rond zijn blad. In de linkerbovenhoek schrijft hij zijn naam, ook in een kadertje. Zo heeft hij dat lang geleden op school geleerd. Als hij met verf werkt, gebruikt hij geen palet, hij maakt de potjes leeg in sardienenblikjes. Daardoor hebben zijn schilderijen een beperkt aantal kleuren. Zijn penselen spoelt hij nooit uit. De verf mengt zich en als de potjes bijna leeg zijn, krijgen zijn werken een olijfbruine tint. Hoewel Duhem pas op late leeftijd begint te schilderen, laat hij een groot oeuvre na. De eindeloze herhaling van steeds dezelfde thema's geeft aan dit werk iets geheimzinnigs. Alsof er 'iets' is dat Duhem steeds opnieuw probeert te vatten, vast te leggen."
"Frédéric","ETIENNE","(België, 1965-)","FredericETIENNE.jpg",
"Yves-Jules","FLEURI","(Frankrijk, 1960-)","Yves_Jules_FLEURI.jpg",
"Cecile","FRANCEUS","(België, 1962-2008)","Cecile_FRANCEUS.jpg",
,"FRANKLIN","(Portugal)","FRANKLIN.jpg",
"Jill","GALLIENI","(Frankrijk, 1948-)","Jill_GALLIENI.jpg","Deze zinnen als rozenkransen zijn zo dicht opeengepakt dat ze onleesbaar zijn. Ze vormen een gebed. Jill Galliéni richtte ze eerst tot de heilige Rita en vervolgens tot de Maagd Maria. Zij voelde de behoefte om hiermee te beginnen ontstaan rond haar dertigste, om ze vervolgens gedurende meerdere jaren te laten varen, omdat zij zich afvroeg of haar spiritualiteit een materiële vorm kon aannemen. Ze hervatte haar gewoonte toen ze eenmaal overtuigd was van de mogelijkheid. Jill Galliéni creëert ook bijzondere textielpoppen die zich onderscheiden van haar gebeden, omdat ze gemaakt werden met de bedoeling door een publiek gezien te worden.",,,,,,,,,,,
"Johan","GEENENS","(België, 1970-)","geenens.jpg","Johan Geenens ontplooit zijn talent in de Kunstwerkplaats De Zandberg (Harelbeke) sinds 1992Naast zijn etsen en linosneden die sinds meer dan tien jaar gekend zijn, toont Johan Geenens zich ook aan het publiek via tekeningen en schilderijen die een ander aspect van zijn œuvre aan het licht brengen. Zijn ogenschijnlijk abstracte composities bevatten talrijke vorm- en kleurencombinaties die een specifiek onderzoek vereisen. De tekeningenreeks « Nog een kasteel » bestaat bijvoorbeeld uit een wirwar van lijnen die wanneer men ze aandachtig onderzoekt overgaan in kleine, duidelijk afgelijnde ruimtes, in gevlochten plaatsen die een rol spelen in die subtiele mozaïek van kleuren en vormen en soms afgewisseld worden met grotere ruimten waarin de trekken vrijer en minder systematisch zijn. Dat contrast van stijlen en densiteit nodigt de toeschouwer uit om rekening te houden met elk afzonderlijk element van dat geheel, en de specifieke eigenheid daarvan te beschouwen."
"Irène","GERARD","(België, 1958-)","Irene_GERARD.jpg",
"Madge","GILL","(Engeland, 1882-1961)","Madge_GILL.jpg",
"Juanma ","GONZALEZ","(Spain, 1945 – België, 2007)","Juanma_GONZALEZ.jpg","Juanma was taxichauffeur en werd schoenmaker. “Een schoen open maken verschaft me veel plezier, de structuur ervan ontdekken, de materialen herkennen, van de geraffineerdste tot de meest ordinaire, handwerk of machinewerk.  Het doet me een beetje denken aan het openmaken van een motor, maar dan minder vuil.» Door een tv-uitzending krijgt hij zin om te schilderen. Hij schildert een landschapje dat onder de voeten wordt gelopen. Het werk van Juanma wordt niet vergeten, maar verdwijnt vanzelf."
"Daniel","GONÇALVES","(Portugal, 1977-)","DANIEL_GONCALVES.jpg","De betoverende composities van Daniel Gonçalves ademen mysterie. Alsof de kunstenaar een magische taal beheerst waarmee hij de verborgen mechanismen van de wereld zichtbaar maakt. Deze kunstwerken komen ‘s nachts tot stand, volgens een precies en onveranderlijk ritueel. Daniel Gonçalves werkt altijd met een balpen en een passer, op dezelfde stoel en met zijn blik op het oosten. Hij werkt direct, zonder voorafgaande schetsen, in een staat van opperste meditatieve concentratie. Zo, in trance bijna, voelt hij zich één met de psychische krachten van het universum. Geleidelijk worden zijn cirkelcomposities steeds geometrischer van opzet. De kunstenaar streeft perfectie na: “Ik wil zuiverheid, nauwkeurigheid, volmaaktheid, evenwicht tot uitdrukking brengen en deze energie overdragen op de kijker. Daarbij ga ik uit van elementen die we allemaal kennen.” (interview verschenen in RAW VISION nr. 101).",,,,,,,,,,,
"Michel","GOYON","(Frankrijk, 1963-)","MichelGOYON.jpg","Al bijna dertig jaar produceert Michel Goyon een fascinerend virtuoos spel van kleuren en knipsels uit schriften die hij verwerkt tot geanimeerde boeken die kunnen worden vergeleken met pop-up boeken. Dit multidimensionale werk nodigt ons uit tot een hybridisatie van de verbeelding. Een hybridisatie die door haar kinetische dimensie een bijna filmische kwaliteit krijgt. De kunstenaar haalt zijn inspiratie uit strips en illustraties, meer bepaalde het sub-genre van de sciencefictionstrips, maar ook uit algemene woordenboeken en encyclopedieën die hij gretig samenbrengt en waaruit hij motieven en beelden put die hij op zijn eigen unieke en persoonlijke manier integreert en herinterpreteert.",,,,,,,,,,,
"Martha","GRÜNENWALDT ","(België, 1910–2008)","Martha_GRUNENWALDT.jpg","Van Spaanse afkomst installeert Carles-Tolra zich op 30 jarig leeftijd in Zurich waar hij na ontdekking van de geschrifte van Dubuffet als autodidact begint te creëren. Onder impuls van de vader van Art Brut met wie hij een belangrijke briefwisseling aanvat, tekent hij vooral ‘s nachts, na zijn werk bij het Rode Kruis. Hij creëerde met de jaren een rijk persoonlijk bestiarium, waarin vogels, en andere complexe eigenaardige dieren die hij “bestioles” noemt. Ignacio Carles-Tolra werkt in series als gedreven door een onweerstaanbare impuls. “Het is de woede die mij motiveert, maar ik amuseer mij zeer veel.” Vertelt hij. “Ik teken om te genezen van de dagelijkse sleur.”"
"Oscar","HAUS","(België, 1939-2018)","Oscar_HAUS.jpg",
"Hendrik","HEFFINCK","(België, 1965-)","Hendrik_HEFFINCK.jpg",
"Jean-Marie","HEYLIGEN","(België, 1961-)","Jean_Marie_HEYLIGEN.jpg",
"Brenda","HEYMANS","(België, 1953-1991)","Brenda_HEYMANS.jpg",
"Josef","HOFER","(Duitsland, 1945-)","Josef_HOFER.jpg","Naakt, frontaal, gekweld, opgesloten, assertief, dit zijn de lichamen die Josef Hofer ons aanbied om te bekijken. De lichamen? Zijn lichaam… ? En bieden ze aan ons aan, deze voorstellingen, of zijn het persoonlijke verkenningen? Worden ze verbonden met de buitenwereld of nemen ze deel aan dit terugtrekkende leven dat wordt opgelegd door de verschillende handicaps die de kunstenaar met zich meedraagt, waaronder doofheid en mutisme? Josef Hofer begon zijn grafische werk op 40-jarige leeftijd in creatieve workshops. Een uitgesproken seksueel karakter, framing die je als lukraak zou kunnen beschrijven, en altijd de herhaling van dit frame gemaakt van gele en rood-oranje lijnen ... Plaats om zijn lichaam te verkennen, in reflectie, in delen."
"Jeroen","HOLLANDER","(België, 1976-)","Jeroen_HOLLANDER.jpg",
"David","HOUIS","(België, 1989-)","David_HOUIS.jpg","De tekeningen van David Houis nodigen de toeschouwer uit om een rol te spelen in het beeld: zo verandert de kijker geleidelijk in een Formule 1- of straaljagerpiloot, een gamer, … Als begenadigd tekenaar schetst David Houis in een enkele haal vol vitaliteit de contouren en details van ontroerende taferelen: autoraces, landingen, opstijgende toestellen en oorlogstaferelen. Elke tekening zit boordevol nauwkeurige en minutieuze details die met eindeloos veel liefde en geduld zijn weergegeven."
,"JAKLINE","(België, 1956-)","JAKLINE.jpg","Jakline geeft niet graag commentaar bij haar werk. Haar werken spreken voor zichzelf. Jakline maakt werken van kant; kant die prikt, roest en tetanus bezorgt. Een werk dat doorsneden wordt door leegte en volheid. Leegte als een verlaten gebied dat overgeleverd is aan de projectie van onze angsten. Ruimte in haar kathedralen van ijzer en nikkel, die de echo weerkaatsen van de revoltes die zij in stilte uitschreeuwt. Jakline komt in opstand tegen een onrechtvaardige, ongelijke maatschappij, tegen een systeem dat iedereen opsluit in zichzelf. En dankzij de valstrikken die zij bouwt is het de onzichtbare vijand die in de kooi belandt. Door hem te structureren kan ze hem beter het hoofd bieden, sterk en met rechte rug, zoals de ijzeren maagden die zij tot leven brengt met kleine stukjes chaos."
