"PRENOM","NOM","DATES","IMAGE","BIOGRAPHIE"
"Dominique","BOTTEMANE","(Belgique ,1961-)","Dominique_BOTTEMANE.jpg","Famous for his linocuts peopled with animal and feminine figures, Dominique Bottemanne shows great sensitivity.  A great sports enthusiast, he attacks the art of creation like a sportsman.  Wanting to show as much as possible, he sometimes gets involved in complex compositions with elements superimposed and intermingled.  A demanding artist, he goes from linocuts to oil painting, or even to sculpture, tirelessly seeking to achieve the result of which he has dreamed."
"Ignacio","CARLES-TOLRA ","(Spain, 1928-)","CARLES_TOLRA_Ignacio.jpg","Originally, from Spain, Carles-Tolra moved to Zurich at the age of 30 where, self-taught, he embarked on art after discovering the writings of Jean Dubuffet. Encouraged by the latter, with whom he maintained an important correspondence, he started drawing at night after his work as a civil servant for the Red Cross. 
Ignacio Carles-Tolra gradually developed a bestiary of enormous diversity, bringing together birds and other composite creatures, often endowed with multiple members, which he refers to as “creatures.” lgnacio Carles-Tolra works on impulse and in haste, often by series, consumed by a fever to be understood.  “It’s anger that motivates me the most, but I have a lot of fun too,” he confesses.  “I draw to heal myself from daily life.” His work may proceed by accident from a spot, scratch, print or collage."
"Georges","CAUCHY","(France, 1963-)","Georges_CAUCHY","Some people are difficult; we might even call them stubborn! Well, Georges is one such person: very difficult to communicate with, he has nonetheless some truly remarkable bouts of creativity. At such times, every form submits to his will and takes on more intensity. He uses felt-tip pens, which gives luminosity and transparency to his blocks of color. But you are warned: these works are fragile because the felt-tips employed fade in daylight."
"Klaus","COMPAGNIE","(Belgium, 1972-)","Klaus_COMPAGNIE.jpg","During his youth, Klaus Compagnie has already been someone who liked commenting on his anecdotal representations. He works with enthusiasm and obsession on the perfect translation of his world. He sketches rudimentary figures in painting, charcoal or in pyrography combined with written comments. Paintings illustrate his unlimited knowledge and unlimited imagination. He realizes portraits, paints historic facts and confronts us with his anatomical knowledge. He gives meteorological indications or events with a personal interpretation in dutch, but also in spanish and in french. He reinforces pictures by text, what convey his works funny and scheming."
"Phillippe","CONDYLIS","(France, 1959-)","Phillippe_CONDYLIS.jpg","For Philippe Condylis, drawing is an essential activity.  His works, painted instinctively, focus on the female body.  Starting out with complex compositions in which faces and bodies were interwoven… his work has become more simplified.  This has resulted in more expressive drawings in which the female body becomes foliage or an angel.  His drawings have acquired the presence of fetishes, of transitional body-objects.",,,,,,,,,,
"Martine","COPENAUT","(Belgium, 1955-2004)","Martine_COPENAUT.jpg","Martine Copenaut discovered drawing and weaving at the same time, which is doubtless why her very colourful graphic compositions, with closely set motifs, seem to illustrate the weft of a tapestry.  Her abstract creations juxtapose rounded geometric forms evoking the blossoming of a flower up to the very edge of the petals; a stream of multi-hued blossoms pushing against one another until there is no white space left."
"Aloïse","CORBAZ ","(Switzerland, 1886-1964)","Aloise_CORBAZ.jpg","Having suffered heartbreak, Aloïse, then aged twenty-five, moves to Germany where she takes up the post of governess at the court of Emperor William II. At the start of the war in 1914 she has to go back to Switzerland, and is showing signs of behavioral problems. Her family decides to first commit her to the hospital in Céry then, from 1918 until her death, to the mental hospital of La Rosière in Gimel. Jacqueline PorretForel, the doctor who looks after her, analyses her works and shows them to Jean Dubuffet. Locked-up, Aloïse creates disconcerting works that follow rules which are hers alone. Memories resurface in her drawings: the splendor of the court of William II, royal couples, and theatrical scenery. She doesn’t reproduce them faithfully, but transfers them into a perpetually changing and extremely diverse world."
"Sylvain","COSIJNS","(Belgium, 1932–2020)","Sylvain_COSIJNS.jpg","Sylvain Cosijns started to live and open up aged 56, when he went to Jan Geldhof’s studio. During his life he accumulated a mass of sensations and experiences, endured and lived through but never communicated. Drawing and painting is his way of reaching out to life and other people. 
The work of Sylvain Cosijns reflects the fragility of things more than heroism: it exudes tremendous purity: bare drawings with a hesitating stroke although maintained."
"Georges","COUNASSE ","(Belgium, 1933-2005)","Georges_Counasse_27.jpg","Eternal enchantment that furrows our childhood memories, the merry-go-rounds of Georges Counasse, a retired baker, turn to the rhythm of record-players that usually serve as their base.  An assembly of elements gleaned from childhood and its rediscovery (small dolls that ride the carrousels, pearls, Christmas garlands, etc.) recreate the fair of the years 1947-1950 of his youth.  Merry-go-round, big wheel, chain carousel, ice palace, and bumper cars awaken a nostalgic happiness in us all."
"Kazimierz","CYCON","(Poland, 1931-2004)","Kazimierz_CYCON.jpg","Kazimierz Cycon tirelessly depicted the same motif.  A figure with its head bowed, appearing prostrate, its eyes more or less hallucinating.  His pictorial work, which he began at the age of 42, has become increasingly graphic, in an infinite range of colours.  Refusing all contact with others, he has rejected the advice of the doctors and therapists around him.  His creations reflect the inward-looking attitude that characterises him.",,,,,,,,,,
"Hilde","D’HONDT","(Belgium, 1956-)","Hylde_DHONDT.jpg","The works of Hilde D’Hondt works are truly intimate.  After the death of her mother, she created a wreath for her grave while working in the Zonnelied weaving studio where she has been established since the early 1990s.  This delicate and fragile work of art embodies all the love and the grief she felt at the loss of her mother.  Before this mourning period, she created “textile collages” with a great diversity of colours and materials.  Her work inspires a particular look into the material and the sense of touch."
"Philippe ","DA FONSECA","(Belgium, 1959-)","Da_Fonseca.jpg","When he arrived at La « S » Grand Atelier, in 2000, Philippe Da Fonseca had already acquired an almost intuitive formal vocabulary: ships, churches, trees, suns, moons. We can still distinguish them at times in his later abstract compositions where successive layers create an opaque - transparent interplay. The work of Philippe Da Fonseca has long been strictly painted in black and white but a vivid palette has lately burst out, something which has certainly to do with the arrival of a new colourist art facilitator."
"Caroline","DAHYOT","(France, 1968-)","Caroline_DAHYOT.jpg","From her ‘Villa Verveine’ perched overlooking the English Channel, Caroline Dahyot has created an ideal, protective world for herself and others, where those she loves feel safe and secure.  She has been drawing and sewing since 2006, and her works have now taken over her home in its entirety, covering the floor, walls and ceilings with frescoes and drawings.
Like a kindly witch, she makes dolls and drawings in the likeness of her loved ones: her children, her friends and even her lovers, she then adorns with cats’ heads, transforming them into imaginary creatures who will never disappoint.  Her restorative art helps to spread a message of universal love.  That is the very essence that strikes you when you meet her: the love that emanates from her, which she passes on to everyone who crosses her path.",,,,,,,,,, 
"Antonio","DALLA VALLE ","(Cles (Trente), Italy, 1939-2020)","Antonio_DALLA VALLE.jpg","Antonio Dalla Valle always carries his work when he leaves the security of his psychiatric institution. It contains notebooks wrapped in sticky tape, assemblages of felt pens, and Perspex cubes in which he encloses small pieces of paper with scribbled text. He has invented a form of personal, secret writing in which the intimate coexists with the universal."
"Michel","DAVE","(Belgium, 1941-2018)","Michel_DAVE.jpg","“Writing is also a form of drawing.” When someone quipped that writing is also drawing, Michel Dave embarks on an abundant production of written drawings, of drawn writings. Graphical lists made by signs whose interest goes beyond their meaning, even if that is ever so important. It is not a string of words dumped there by chance. And if Michel Dave chooses them gingerly in a dictionary, he does not limit himself to recopying slavishly in alphabetical order.  We go from one surprise to another when we cast our gaze on them, jumping from association of sounds to association of meaning, on an itinerary of our eye sustained by more or less rippled dotted lines. Michel Dave started to go to the workshop of La Pommeraie in 1990 and it was after a year of graphical trial and error that he found his way in words. His gesture, which became more fragile as his health declined, was silenced in 2015 following a period of intense production."
"Heide","DE BRUYNE","(Belgium, 1955-)","Heide_DEBRUYNE.jpg","The main motifs in Heide De Bruyne's work are the junctions and links woven into the material.  She finds her inspiration in nature, plants, willow branches, threads, etc., which she then knots together to form three-dimensional structures that become magmas of lines and shapes.  They look like storks' nests, giant spider cocoons and plant installations worthy of renowned artists.  Heide De Bruyne works at the Zonnelied studio, Lennik (Belgium).",,,,,,,,,,
"Willy","DE SMEDT","(Belgium, 1943-)","Willy_DESMEDT.jpg","Willy De Smedt has been attending the Créahmbxl art workshop since 1998. The first gesture: drawing a rectangle. Willy De Smedt’s abstract painting is elaborated layer after layer. During the process, the aligned rectangles, drawn with acrylic, take on color. Then, others come to superimpose them in shift. The material accumulates. The new shades - perhaps pastel - blend with the previous ones. The rhythm of Willy De Smedt’s paintings, their vibration, is born from these overlaps. When the work is finished, it has acquired its singular depth. The eye crosses these doubled porticoes and immerses itself in the color. (Text: Créahmbxl, Anita Van Belle)"
"Éric","DE SULAUZE","(France, 1963-)","ERIC_DE_SULAUZE.jpg","Éric De Sulauze attended the art workshop of the Pré-texte, Brussels. Eric de Sulauze gives a major place to the rituals that he executes before starting to create. For example, sharpening his pens to experience the smell of freshly cut wood is a great pleasure for him. He also needs a table for him alone to draw. He crushes his colouring pencils to form his shapes, and often fills the space on the paper twice to get a velvety touch to his drawings."
"Sieberen","DE VRIES","(Netherland, 1969-)","SieberenDeVRIES.jpg","Sieberen De Vries has gradually moved into portrait painting, depicting the faces of famous people.  In his work, however, he never idealises the men and women he paints.  Their large eyes cling tenaciously to the viewer.  Their wrinkled foreheads, gleaming teeth, media-savvy grimaces and freckled faces immediately appeal, thanks to Sieberen's grand brushstrokes.",,,,,,,,,,
"Véronique","DECLERCQ","(Belgium, 1965-2021)","declercq.jpg","It all starts with a rainbow, tirelessly repeated, with a marker. It all starts with a rainbow, and a dry-point engraving course offered by the artist Chris Delville within the Club Antonin Artaud (Brussels). The gesture of the rainbow takes all its dimension, returns all its depth once applied to the medium, which does not make it possible to repent, just to directly transcribe the waves which come from the inside. Touched by Declercq’s work, Chris Delville suggested her to keep practicing this technique on a weekly basis, in her personal workshop. A creative relationship that has endured since 1997, between the raindrops and the sunbeams that pierce through the windows of the small courtyard, accomplices of the hatching of arches, skies ... waves! … Of whites and grays."
"Serge","DELAUNAY","(Belgium, 1956-2021)","Serge_DELAUNAY.jpg","Serge Delaunay worked at the Campagn'art workshop from 1978 to 2021. His drawings, made with black felt pen and rotring in ligneclaire style, are supported by texts with technical and mechanical information in which every word seems to be the flagship of the future, the source of progress. His drawings remind us of our micro-dimension in the face of the space odyssey and its vastness. Through artistic creation, Serge Delaunay has created ""his"" Space Odyssey as a substitute existence."
"Eric","DERKENNE","(Belgium, 1960-2014)","Eric_DERKENNE.jpg","It is the circles that hold the whole composition together, with a nose and sometimes arms drifting around them.  As the creation progressed, the need to fill the whole sheet grew.  At La S Grand Atelier, where he was active, the facilitators offered him a variety of techniques.  He tried them out and then made a deliberate choice: to use the ballpoint pen exclusively.  For fifteen years, Éric Derkenne worked alone on the same table at the back of the studio but, towards the end, he finally agreed to use walnut stain, ecoline (liquid  paint for watercolours) or Indian ink to add colour and substance to his ‘face works’.",,,,,,,,,,
"Curzio","DI GIOVANNI","(Italy, 1957-)","CurzioDiGIOVANNI.jpg","Curzio Di Giovanni models his work on the stars featured in glossy magazines.  He strives to reproduce every detail with the same importance, a shadow having the same value as an ear or a nose.  The result is a fragmented flattening of these faces that takes on a grating allure, as though the author was criticizing the capitalist system of which these images are the vector.  Curzio Di Giovanni attends the ‘Adriano e Michele’ studio at the Fatebenefratelli Centre in San Colombano, near Milan.",,,,,,,,,,
"Georges","DUESBERG","(Belgium, 1944-1995)","GEORGES_DUESBERG.jpg","For years, Georges Duesberg has been the graphical chronicler of events that had marked the week at the Centre de la Pommeraie (Quevaucamps). His models are borrowed from magazines and reinterpreted in colours that come pure out of their pot, after a composition in pencil – a composition previously annotated by colouring according to a likewise reinterpreted vocabulary: “light browned,” “dark mauved”…"
"Paul","DUHEM","(Belgium, 1919-1999)","Paul_DUHEM.jpg","Duhem was seventy when he started to draw and paint. He would always work in the same way. First of all he would cut the sheet of paper down to size with a knife, and then use a length of wood to draw a frame around the sheet. In the top left-hand corner he would write his name, also in a little frame. He had learnt to do this long ago at school. When he worked with paint, he would not use a palette, but emptied the pots into sardine tins. Because of this, his paintings have a restricted number of colors. He never washed out his brushes. The paint became mixed together, and by the time the pots were nearly empty, his work would take on an olive-brown tint. Although Duhem only started painting late in life, he left behind a large body of work. The endless repetition of the same themes gives this work a somewhat enigmatic quality. It is as though there is something that Duhem is always trying to grasp or capture."
"Frédéric","ETIENNE","(Belgium, 1965-)","FredericETIENNE.jpg","Spring and autumn are the hunting grounds for Frédéric Étienne's creations.  ‘Two seasons of light’, he says.  They offer a playground for new forms, nourished by the salvaged materials he gathers between the deserted cobblestones of the flea market at Place du Jeu de Balle.  Cartoon figures, plastic animals, paper umbrellas, a colourful anthology... form the autumn foliage or bursting spring buds of his sculptures.  Each floor invites you to another in the gigantic scale of small items stuck to one another.
Discovered in the heart of the Marolles district, this tower was a natural addition to the Art et marges museum collection.  The proximity of the artist also means that we can call on him to reattach any loose parts from time to time.",,,,,,,,,,
"Yves-Jules","FLEURI","(France, 1960-)","Yves_Jules_FLEURI.jpg","Flat areas of acrylic and dark outlines are the constants in the work of Yves-Jules Fleuri, who has been working in the Campagn'art studio in Neufvilles since 1997.  He specialises in royal and presidential portraits, but also reproduces all kinds of images, from tarot cards to classic paintings, imprinting them with his own distinctive style that distorts them into squeaky characters with carnivorous smiles or luscious lips in a pop aesthetic.  His works are always framed by a frame designed by the artist himself, featuring the caption.  As colourful as his paintings, Yves-Jules Fleuri is also a magician.",,,,,,,,,, 
"Cecile","FRANCEUS","(Belgium, 1962-2008)","Cecile_FRANCEUS.jpg","Cécile Franceus expresses herself in a gestural style that does not become an identifiable shape.  The strokes vigorously applied to the paper are accompanied by the sound of a ball-point pen scratching on a table, the incessant repetition, and the insistent music that accompanies her gestures.  For her, the creative process is more important than the result achieved; it is a medium of existence and the confirmation that she is indeed living.  When a page has a hole in it, she slides a second sheet beneath it, tears and glues the paper until, for some unknown and unexplained reason, she stops working and decides that the work is finished.  This cessation of work is guided by an inner voice and not by some external material contingencies, for even when her pen has run out of ink she continues to use it as a scraper!  The mystery and the miracle of her gestural style reside in the existential message that they embody. Cécile Franceus created her work at the Zonnelied studio in Lennik (Belgium)."
,"FRANKLIN","(Portugal)","FRANKLIN.jpg","Franklin's meticulous, precise works, often created with the aid of a magnifying glass, are born of the thoughts and poems that accompany him.  His ornamental mazes owe much to 19th century writers, including John Keats, the Brontë sisters and Emily Dickinson, and this is undoubtedly what makes them so timeless; if they are not of now, they are perhaps of always.",,,,,,,,,,
"Jill","GALLIENI","(France, 1948-)","Jill_GALLIENI.jpg","These sentences, so tightly strung together as to be illegible, are in fact prayers. Jill Galliéni addresses them first to Saint Rita and then to the Virgin Mary.  She felt the need to start this practice around the age of thirty, she then abandoned it for several years, wondering if her spirituality could take on a material form; she then took it up again once she felt reassured about it.  Jill Galliéni has also created unique textile dolls, where her prayers can be distinguished since they were not created for the purpose of being seen by an audience."
"Johan","GEENENS","(Belgium, 1970-)","geenens.jpg","Johan Geenens has been attending the De Zandberg workshops in Harelbeke since 1992. Starting off with engraving and linocut, his artistic practices expanded into abstract painting and drawing. His “Nogeenkasteel” series (“One more castle”) is composed of entangled lines transformed into distinct, small spaces and interweaved areas. They all take part in a subtle mosaic of colors and forms, at times alternating with wider spaces where his brash strokes (if it is about painting) OR drawing line (if it is about drawing) become freer and less systematic. These contrasts in styles and density invite the viewer to appreciate in each one of the elements of this ensemble its own distinct features."
"Irène","GERARD","(Belgium, 1958-)","Irene_GERARD.jpg","Bodies lingering like so many fragments assembled, then glued back together in the manner of Kintsugi, the Japanese practice of gluing broken objects back together by sublimating the repair with gold.  Yet, it is more often with a black outline that Irène Gérard interweaves the kaleidoscopic beings that emerge from her brush.  Self-portraits, famous works of art and personalities are among the subjects that gain in presence, strangeness and depth from the artist's intervention.  Irène Gérard has been working at La S Grand Atelier since 2007.",,,,,,,,,,
"Madge","GILL","(England, 1882-1961)","Madge_GILL.jpg","Madge Gill (London, UK) is one ofthe leading female figures inoutsider art.  A mediumistic (or spiritualistic) artist, she said that she was guided by  a spirit of the name of "Myrninerest", which could be translatedas“My Inner Rest [Self],” or “My innerest.” She started to draw, write and embroider when she lostthe use of her left eye due to an illness. She workedvery rapidly, all through the night, by candlelight, in a state close to a trance. It was only after she died in 1961, that hundreds of drawings were found piled up in cupboards and under the bed that would go on to enrich the world’s biggest outsider art collections.",,,,,,,,,,
"Daniel","GONÇALVES","(Portugal, 1977-)","DANIEL_GONCALVES.jpg","The compositions of Daniel Gonçalves are bewitching. They seem to contain a mystery, as if the artist mastered a magical language able to translate the hidden mechanisms of the world. These art pieces are shaped during the night, according to a precise and unchanging ritual, Daniel Gonçalves always creates with the same tools, a pen and a compass, on the same chair and always facing east. He creates without sketches, in a meditative focus state, close to a state of trance, connected, according to him, to universal psychic forces. Gradually, the artist is committed in circular compositions more and more geometric in an attempt to reach perfection: « I hope to transmit purity, precision, perfection, balance, and passing on this energy to the viewers, based on elements that are common to all » (interview in RAW VISION, n°101)."
"Juanma","GONZALEZ","(Spain, 1945 – Belgium, 2007)","Juanma_GONZALEZ.jpg","He was a driver and became a cobbler.
“I really enjoy taking a shoe apart, discovering its structure, identifying what it’s made of, from the most refined materials to the most ordinary, hand-made or machine-made. It was a bit like taking an engine apart but not so dirty.” A television programme made him want to start painting. One day a new sole he had just fitted, its smell, its shape and its texture, made it the ideal support. He painted a small landscape on it, to which the reactions of his customers varied: “The first time I decorated the soles unasked the lady was delighted. But another customer wasn’t at all pleased.” Juanma’s works are not forgotten, they wear away."
"Michel","GOYON","(France, 1963-)","MichelGOYON.jpg","For almost thirty years, Michel Goyon has been creating a fascinating virtuoso game of colouring and cutting with notebooks which take the form of animated books one could compare to pop-up books. This multidimensional work invites us to witness the hybridisation of imaginations. A hybridisation which, because of its kinetic dimension, acquires almost cinematic aspects. The artist not only finds inspiration in comic strips, illustration, and even more so in a very specific comic strip “genre”, i.e. that of science-fiction, but also in general dictionaries and encyclopaedias which he consults avidly and from which he draws patterns, images he integrates and reinterprets in his world and in his own unique and personal way."
"Martha","GRÜNENWALDT ","(Belgium, 1910–2008)","Martha_GRUNENWALDT.jpg","The artistic activity of Martha Grünenwaldt began in 1981, when she was seventy-one. On the back of a poster or wallpaper, she drew brightly colored pictures with a woman as the apparent centre point. Beside and around the face she painted birds, a violinist, plant motifs, even buildings. 
Over the years, these motifs took over the space from the portraits and in some cases became a tangle of vegetation obscuring Martha completely."
"Oscar","HAUS","(Belgium, 1939-2018)","Oscar_HAUS.jpg","Despite being retired, Oscar Haus visits La Pommeraie centre's painting studio every day to talk about various things, but above all of his love for music (he has played the accordion since childhood).  It was during these visits that Bruno Gérard, the studio leader, invited him to come and take part in the studio’s activities.  Oscar Haus then began to draw everyday things using coloured pencils.  It would be some time before he developed a distinctive body of work, with the accordion as his central and unique theme.  Over time, a book on the accordion (given to him by a centre employee) and the discovery of Karisma coloured pencils, with an intensity like no other, led to the development of his remarkable body of work.",,,,,,,,,,
"Hendrik","HEFFINCK","(Belgium, 1965-)","Hendrik_HEFFINCK.jpg","Hendrik Heffinck, an installationi artist, came to assemblage via painting. Little by little, he started integrating objects in it, giving them an air of combine painting à la Rauschenberg. Soon there would only be objects, assembled with any links and ties he happened upon.
‘Kunst’ (art): that is what Hendrik Heffinck calls all of his creations. No law can possibly apply to all outsider artists:realty is many-sided. Whereas some of them have no access to the concept of art, being ignorant of the rules, or ignoring them, others make a special point of this to profess it.",,,,,,,,,,
"Jean-Marie","HEYLIGEN","(Belgium, 1961-)","Jean_Marie_HEYLIGEN.jpg","A painter, engraver and sculptor, Jean-Marie Heyligen first became interested in the female anatomy, which he eventually synthesised into floating forms in bold colours.  Unable to express himself through words, it is through plastic representation that he forges a link with others.  His inventive woodcarving is adorned with second-hand finds, which he recycles into knight's armour or Indian hair.  Jean-Marie Heyligen has been active in the arts workshop at the Centre André Livémont since 1981.",,,,,,,,,,,
"Brenda","HEYMANS","(Belgium, 1953-1991)","Brenda_HEYMANS.jpg","Through drawing, painting and collage, Brenda Heymans developed a personal mythology of enigmatic characters and signs.  It is thanks to her daughters that the Art et marges museum was able to enter her most secret garden, the world of embroidery, more than twenty years after she had passed away.",,,,,,,,,
"Josef","HOFER","(Germany, 1945-)","Josef_HOFER.jpg","Naked, frontal, tortured, locked up, assertive, these are the bodies that Josef Hofer offers us to see. The bodies? His body…? And do they offer them to us, these representations, or are they personal explorations? Do they link up with the outside world or do they participate in this retreating life imposed by the various handicaps the artist carries, including deafness and mutism? Josef Hofer started his graphic work at the age of 40, in creative workshops. A marked sexual character, framing that could be described as haphazard, and always the repetition of this frame made of yellow and red-orange lines ... Which corresponds to the frame of his mirror, placed at the foot of his bed, in his bedroom… Place to explore his body, in reflection, in parts."
"Jeroen","HOLLANDER","(Belgium, 1976-)","Jeroen_HOLLANDER.jpg","The channels of communication of Jeroen Hollander (Belgium, 1976) are public transport lines. He has been collecting plans and maps since his early childhood, and when he has to represent a city, he does so through the transport networks. More or less true to reality, his maps are pure inventions or inspired by cities actually visited. Because Jeroen travels only by train, tram and bus. His maps have undeniable plastic qualities which earned him the Young Belgian Painting Prize in 2009.",,,,,,,,,,
"David","HOUIS","(Belgium, 1989-)","David_HOUIS.jpg","David Houis’s drawings invite the viewer to become the protagonist of the image, thus turning the spectator firstly into the driver of a Formula 1 car, then the pilot of jet fighter, or even, finally, a gamer.  An extraordinary artist, with one energetic stroke, David Houis can interpret the perspectives and details of scenes in movement: motor racing, a plane landing or taking off and even scenes of war.  Every drawing is teeming with precise details realised meticulously, demonstrating his love and his patience."
,"JAKLINE","(Belgium, 1956-2023)","JAKLINE.jpg","Jakline does not speak readily about her work. (Jakline's work is not a deliberate act of self-expression) Her actions and artwork speak for her instead. She makes lace. One that stings, gets rusty and transmits tetanus. That is chiseled up by fullness and emptiness. Void as some devastated land, abandoned to the projection of our fears/anxieties. A sort of space, inside her iron and nickel cathedrals, where floats the echo of her revolt cried out in silence."
"Pol","JEAN","(France, 1952-Belgium, 2021)","POL_JEAN.jpg","It’s about shades that fade in the paper like lava, strokes that swarm and that are retained by a dark circle, as the lead maintains stained glasses together. It is a dense work created between a bedroom in the Queen Fabiola Center and the Campagn’art workshop (Neufvilles, Belgium), in a perpetual move where drawings and paintings are precious treasures to keep close to oneself, as much as the material used to produce them. It’s a singing, it is all the noise that cannot go out his mouth. It is all the music that his smile let imagine when he starts to put together architectures, portraits and fantasy animals that, under our look, circulate or melt. Dance."
