PRENOM,NOM,DATES,IMAGE,BIOGRAPHIE
Georges ,COUNASSE ,"(Belgique, 1933-2005)",Georges-Counasse-27.jpg,"Des tourne-disques servent de socle et de moteur à ces manèges qui s’animent à la pression d’un interrupteur. La garniture (puisqu’il s’agit d’un boulanger) est composée de matériaux et objets de tous poils ; du parapluie au capuchon de bouteille, en passant par les guirlandes de Noël sans oublier les innombrables jouets miniatures : poupées, figurines et autres voitures ! Georges Counasse passait tout son temps de loisir à recréer la foire de son enfance. Les manèges sur lesquels il ne pouvait pas monter alors faute d’argent ont ainsi fini par envahir son pavillon l’âge de la retraite approchant."
Antonio ,DALLA VALLE ,"(Italie, 1939-)",dalla-valle-41.jpg,"Antonio Dalla Valle arpente les couloirs de l’hôpital Sospiro avec au bout de son bras un sac de plastique recelant ses créations. Il s’agit essentiellement d’objets recouverts de ruban adhésif mais également d’agglomérats de petits objets en plastique fondus ensemble. Calumets, canne-totem, carnets remplis d’écritures énigmatiques proches d’écritures scientifiques… Pour sûr, ces objets ont un rôle, une fonction, un pouvoir pour Dalla Valle, qui n’hésite pas à les détruire une fois que le pouvoir, la force magique de ces objets serait épuisée. "
Serge ,DELAUNAY,"(Belgique, 1956-)",Serge-Delaunay-294.jpg,"Serge Delaunay fréquente l’atelier de dessin et de modelage du Centre reine Fabiola. Il trace des dessins à la ligne claire représentant des sujets répétitifs (voitures, robots, fusées…) qu’il accompagne de textes d’informations techniques et mécaniques où chaque mot semble être le porte-drapeau de l’avenir. Face à l’odyssée de l’espace et à sa démesure, le dessinateur nous rappelle notre micro-dimension. Grâce à la création artistique, Serge Delaunay s’est créé « son » Odyssée de l’espace comme existence de substitution."
Paul,DUHEM,"(Belgique, 1919-1999)",Duhem-1.jpg,"Après un chemin de vie sinueux, Paul Duhem commence à créer à l’âge de 70 ans au sein de l’atelier peinture du Centre La Pommeraie. C’est alors pour lui une deuxième naissance, une deuxième vie, qui durera 10 ans.
Une géométrisation des formes, une économie de moyens et une dimension sérielle marquent rapidement sa production. Sans nous lasser, Duhem reproduit le même schéma de construction de ses portraits. Ses personnages sont les faux jumeaux de l’imaginaire. La tête broyée dans les épaules, les oreilles décollées, le mental encadré. Ces soldats uniques sont les légionnaires d’un monde clos."
Johan,GEENENS,"(Belgique, 1970-)",geenens.jpg,"Johan Geenens fréquente l’atelier De Zandberg, à Harelbeke, depuis 1992.Débutant par la gravure et la linogravure, sa pratique s’élargit à la peinture et aux dessins aux formes abstraites. La série « Nogeenkasteel » (« Encore un château ») se compose par exemple d’un enchevêtrement de lignes qui se transforme en petits espaces précis et déterminés, en endroits tressés qui participent de cette mosaïque subtile de couleurs et de formes, alternant parfois avec des espaces plus vastes où le trait se fait plus libre et moins systématique. Ce contraste de styles et de densité invite le spectateur à prendre en compte chaque élément distinct de cet ensemble dans sa spécificité propre."
Juanma ,GONZALEZ,"(Espagne, 1945-2007, Belgique)",Gonzalez.jpg,"Il fut chauffeur, il devint cordonnier. « Ouvrir une chaussure me donne un grand plaisir, découvrir la structure, reconnaître les matériaux, des plus raffinés aux plus ordinaires, le travail fait main, celui des machines. C’était un peu comme ouvrir un moteur mais moins sale. » Une émission télévisée lui donne envie de peindre. Un jour la semelle neuve qu’il vient de finir, son odeur, sa forme et son touché deviennent le support rêvé. Il y peint un petit paysage, foulé au pied, apprécié différemment par ses clients : « La première fois que j’ai décoré spontanément les semelles d’une cliente elle en fut ravie. Ce ne fut pas le cas d’un autre client qui n’apprécia pas du tout cette initiative. » L’œuvre de Juanma ne s’oublie pas, elle s’efface. "
Martha,GRÜNENWALDT ,"(Belgique, 1910-2008)",Grunenwaldtweb.jpeg,"Martha Grünenwaldt se met à dessiner en 1981, à 71 ans, sur la table de la cuisine de sa fille, avec les crayons de couleur de ses petits-enfants. Au verso d’affiches ou de papiers peints, se déploie un univers coloré dont la femme semble être le point centrifuge. Autour et en bord du visage apparaissent des oiseaux, un violoniste, des motifs végétaux ou encore une architecture. Ces motifs ont, au fil du temps, gagné du terrain sur les portraits pour aboutir dans certains cas à un véritable millefiori où se couche l’invisibilité de Martha. On retrouve dans son œuvre dessiné toute la musique dont cette violoniste fut privée par ses patrons au cours de 28 années de travail au service d’une ferme-château."
,JAKLINE,"(Belgique, 1956-)",Jacquelineok.jpg,"Jakline ne s’exprime pas volontiers à propos de ses œuvres. Ses actions, ses œuvres, le font pour elle. Les œuvres de Jakline, c’est de la dentelle. De la dentelle qui pique, qui rouille et donne le tétanos. Un ouvrage ciselé par le plein et le vide. Du vide, comme un terrain dépeuplé laissé à la projection de nos angoisses. De l’espace, dans ses cathédrales de fer et de nickel, pour laisser flotter l’écho des révoltes qu’elle hurle en silence. Jakline s’insurge contre une société injuste, inégalitaire, contre un système qui enferme chacun dans sa condition. Et ainsi qu’elle lui donne la forme de pièges, c’est cet ennemi invisible qui est mis en cage. Le structurant, elle peut mieux lui faire face, droite et puissante, à l’image des vierges de ferrailles qu’elle fait naître de l’organisation de petits morceaux de chaos. C'est d'un même élan que Jakline apporte son aide aux plus démunis et s'adonne à ses créations, y installant d'ailleurs des petits lits pour les réfugiés..."
André ,ROBILLARD ,"(France, 1932-) ",Robillard-10B.jpg,"Depuis plus de trente ans, ce créateur qui ne se considère pas artiste, fabrique des fusils symboliques à l’aide de boîtes de conserve, d’ampoules usagées, de vieux rouages, de pièces de bois récupérées, de tissu, de clous, de fils de fer et de Scotch. Ses fusils, qui tournent presque l’objet de référence en ridicule, auraient pour lui un pouvoir magique, celui de « tuer la misère » ou encore de « changer la vie ». C’est en effet le rôle que tiennent ses « machins d’art » dans son existence ; lançant un pont entre lui et l’autre, le sortant de l’isolement. Dans sa générosité créatrice, André Robillard nous propose tout un univers, n’hésitant pas à vous tenir un monologue en martien ou à improviser un morceau de musique en frappant ses doigts recouverts de cartouches sur une boîte métallique."
Jacques ,TROVIC ,"(France, 1932-) ",Trovic1149.jpg,"Très jeune, il apprend la couture et la broderie auprès de sa mère et de sa sœur. Il crée sa première tapisserie en 1964, dans sa petite maison de mineur de la banlieue de Valenciennes. Il réalise sur la table de sa cuisine des tapisseries de dimensions monumentales. Les thèmes abordés s’inspirent de la tradition populaire, de la mine, de scènes de rue, de fêtes ou de carnavals. Sur une base de toile de jute, Jacques Trovic brode à l’aide de tissus achetés au marché, de laine de toutes les couleurs, de paillettes, de perles, de dentelles, des patchworks dont émanent une grande poésie et une grande sensibilité."
